,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
24,10.0,9.0,0.0,8.0,24.0,25.0,10.0,14.0,4.0,5.0,0.0,22.0,9.0,14.0,0.0,0.0,9.0,40.0,0.0,0.0,0.0,44.0,273.0,50.0,0.0,0.0,113.0,0.0,1.0,39.0,10.0,52.0,159.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17.0,28.0,19.0,0.0,64.0,64.0,48.0,11.0,1.0,9.0,129.0,1.0,9.0,0.0,0.0,21.0,27.0,0.0,114.0,38.0,0.0,10.0,110.0,9.0,0.0,163.0,86.0,0.0,76.0,0.0,464.0,1.0,0.0,363.0,2.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7.0,0.0,32.0,10.0,10.0,25.0,40.0,1.0,8.0,0.0,7.0,28.0,21.0,9.0,6.0,0.0,0.0,28.0,32.0,0.0,72.0,52.0,53.0,23.0,0.0,7.0,35.0,24.0,12.0,17.0,64.0,14.0,11.0,22.0,4.0,0.0,10.0,108.0,65.0,0.0,0.0,180.0,10.0,254.0,11.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,88.0,54.0,0.0,0.0,6.0,5.0,0.0,29.0,8.0,0.0,2.0,114.0,76.0,38.0,0.0,0.0,0.0,0.0,25.0,22.0,0.0,0.0,278.0,105.0,99.0,45.0,0.0,250.0,56.0,120.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,770.0,,,,
27,26.0,0.0,70.0,16.0,5.0,13.0,15.0,38.0,0.0,6.0,48.0,6.0,4.0,0.0,56.0,67.0,0.0,6.0,24.0,20.0,10.0,28.0,19.0,8.0,0.0,0.0,7.0,0.0,53.0,51.0,122.0,0.0,71.0,152.0,0.0,100.0,35.0,11.0,23.0,22.0,0.0,63.0,26.0,2.0,1.0,6.0,24.0,40.0,34.0,29.0,5.0,0.0,4.0,313.0,10.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,31.0,12.0,0.0,0.0,24.0,18.0,10.0,16.0,46.0,92.0,85.0,151.0,133.0,31.0,37.0,26.0,82.0,10.0,0.0,71.0,0.0,79.0,209.0,511.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3.0,0.0,21.0,32.0,32.0,14.0,28.0,46.0,0.0,51.0,0.0,36.0,17.0,0.0,0.0,305.0,5.0,76.0,0.0,186.0,14.0,0.0,22.0,22.0,20.0,16.0,0.0,37.0,16.0,150.0,27.0,170.0,0.0,20.0,0.0,65.0,50.0,0.0,0.0,26.0,8.0,5.0,96.0,8.0,37.0,61.0,145.0,226.0,15.0,0.0,118.0,8.0,0.0,16.0,10.0,0.0,392.0,191.0,13.0,6.0,9.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,44.0,0.0,0.0,77.0,0.0,0.0,0.0,,,,,,,,,,,,,
30,33.0,0.0,25.0,0.0,10.0,0.0,1.0,19.0,8.0,8.0,29.0,24.0,4.0,0.0,127.0,30.0,27.0,104.0,0.0,5.0,43.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,28.0,11.0,13.0,12.0,23.0,6.0,18.0,8.0,0.0,53.0,42.0,0.0,12.0,74.0,0.0,69.0,0.0,51.0,13.0,0.0,16.0,0.0,0.0,33.0,143.0,234.0,53.0,10.0,31.0,36.0,0.0,0.0,135.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,25.0,30.0,4.0,24.0,12.0,15.0,16.0,6.0,10.0,6.0,3.0,4.0,51.0,11.0,0.0,101.0,50.0,35.0,6.0,10.0,24.0,0.0,18.0,20.0,18.0,0.0,206.0,293.0,0.0,43.0,27.0,224.0,23.0,0.0,8.0,25.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,98.0,0.0,0.0,179.0,517.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,37.0,16.0,9.0,24.0,15.0,22.0,53.0,36.0,23.0,17.0,5.0,4.0,34.0,140.0,12.0,69.0,22.0,2.0,0.0,6.0,95.0,36.0,0.0,96.0,156.0,0.0,115.0,0.0,0.0,21.0,29.0,72.0,30.0,0.0,21.0,296.0,149.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4.0,29.0,25.0,14.0,3.0,10.0,5.0,0.0,12.0,8.0,17.0,16.0,10.0,9.0,13.0,0.0,4.0,5.0,0.0,67.0,95.0,76.0,8.0,19.0,4.0,20.0,26.0,5.0,3.0,20.0,10.0,3.0,10.0,5.0,147.0,0.0,18.0,18.0,48.0,0.0,295.0,6.0,0.0,0.0,61.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,31.0,15.0,0.0,14.0,22.0,13.0,20.0,0.0,24.0,38.0,4.0,49.0,11.0,24.0,56.0,5.0,11.0,0.0,12.0,0.0,41.0,22.0,6.0,93.0,98.0,0.0,0.0,0.0,0.0,580.0,23.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,72.0,0.0,84.0,194.0,0.0,0.0,188.0,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,17.0,0.0,32.0,15.0,16.0,16.0,14.0,0.0,12.0,48.0,14.0,36.0,17.0,7.0,0.0,64.0,30.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,10.0,245.0,0.0,15.0,0.0,0.0,17.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15.0,0.0,16.0,0.0,18.0,40.0,3.0,10.0,0.0,7.0,11.0,31.0,11.0,23.0,0.0,30.0,38.0,8.0,0.0,3.0,46.0,1.0,42.0,11.0,0.0,0.0,20.0,13.0,0.0,17.0,19.0,0.0,0.0,0.0,178.0,40.0,16.0,27.0,0.0,59.0,0.0,11.0,0.0,5.0,125.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8.0,15.0,6.0,2.0,19.0,18.0,117.0,17.0,29.0,68.0,10.0,0.0,14.0,60.0,9.0,1.0,34.0,0.0,33.0,25.0,0.0,190.0,17.0,58.0,35.0,199.0,12.0,61.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5.0,20.0,0.0,0.0,0.0,33.0,19.0,12.0,60.0,0.0,0.0,0.0,33.0,15.0,26.0,0.0,0.0,0.0,46.0,19.0,34.0,62.0,0.0,14.0,15.0,0.0,0.0,73.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,0.0,34.0,0.0,0.0,19.0,10.0,22.0,4.0,8.0,45.0,0.0,9.0,2.0,1.0,1.0,49.0,0.0,72.0,52.0,20.0,23.0,6.0,13.0,0.0,27.0,0.0,3.0,86.0,0.0,63.0,122.0,18.0,127.0,3.0,27.0,20.0,10.0,0.0,0.0,249.0,83.0,122.0,40.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,36.0,0.0,23.0,47.0,0.0,1.0,3.0,13.0,17.0,91.0,0.0,0.0,79.0,0.0,26.0,12.0,16.0,0.0,9.0,0.0,103.0,96.0,0.0,0.0,38.0,27.0,79.0,0.0,15.0,107.0,0.0,60.0,5.0,331.0,47.0,166.0,33.0,0.0,0.0,50.0,454.0,47.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,32.0,0.0,13.0,1.0,16.0,12.0,4.0,26.0,33.0,24.0,10.0,7.0,18.0,4.0,5.0,7.0,11.0,37.0,46.0,54.0,66.0,0.0,0.0,0.0,99.0,31.0,0.0,0.0,29.0,20.0,0.0,31.0,54.0,0.0,6.0,0.0,0.0,74.0,55.0,0.0,0.0,0.0,31.0,196.0,0.0,24.0,10.0,18.0,3.0,3.0,1.0,17.0,5.0,14.0,0.0,0.0,5.0,33.0,0.0,17.0,7.0,0.0,175.0,95.0,28.0,3.0,11.0,32.0,0.0,0.0,0.0,13.0,0.0,7.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,199.0,0.0,5.0,0.0,2.0,0.0,248.0,,,,,,
43,22.0,6.0,10.0,3.0,24.0,14.0,30.0,2.0,27.0,43.0,27.0,12.0,15.0,20.0,36.0,39.0,0.0,25.0,10.0,10.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,17.0,21.0,12.0,1.0,28.0,7.0,9.0,0.0,0.0,4.0,4.0,13.0,27.0,15.0,86.0,0.0,5.0,0.0,23.0,30.0,17.0,15.0,3.0,0.0,25.0,7.0,13.0,0.0,36.0,0.0,0.0,30.0,28.0,214.0,0.0,0.0,0.0,52.0,82.0,54.0,52.0,18.0,30.0,0.0,50.0,48.0,1.0,8.0,0.0,28.0,0.0,0.0,31.0,14.0,0.0,14.0,4.0,10.0,0.0,628.0,116.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10.0,7.0,0.0,20.0,67.0,147.0,81.0,0.0,40.0,29.0,10.0,88.0,242.0,28.0,240.0,0.0,0.0,8.0,12.0,86.0,112.0,18.0,0.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,0.0,16.0,16.0,21.0,46.0,8.0,27.0,8.0,0.0,34.0,78.0,25.0,96.0,14.0,225.0,58.0,6.0,30.0,54.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,21.0,13.0,25.0,0.0,29.0,0.0,6.0,8.0,15.0,14.0,97.0,10.0,9.0,12.0,15.0,16.0,0.0,27.0,21.0,6.0,0.0,17.0,49.0,79.0,32.0,87.0,40.0,0.0,28.0,0.0,20.0,0.0,4.0,11.0,5.0,0.0,115.0,14.0,0.0,0.0,86.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,50.0,13.0,0.0,10.0,18.0,0.0,32.0,48.0,21.0,56.0,21.0,49.0,22.0,0.0,55.0,11.0,19.0,21.0,46.0,18.0,0.0,37.0,72.0,0.0,0.0,349.0,2.0,4.0,31.0,23.0,0.0,82.0,18.0,0.0,10.0,75.0,59.0,149.0,0.0,23.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
