,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
28,25.0,0.0,17.0,0.0,0.0,21.0,70.0,0.0,14.0,45.0,55.0,67.0,12.0,19.0,326.0,37.0,45.0,112.0,0.0,0.0,0.0,0.0,12.0,0.0,62.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,24.0,25.0,0.0,4.0,14.0,7.0,25.0,21.0,40.0,22.0,28.0,12.0,17.0,120.0,25.0,9.0,0.0,24.0,0.0,48.0,10.0,0.0,0.0,1.0,0.0,4.0,0.0,97.0,64.0,251.0,114.0,53.0,212.0,0.0,258.0,0.0,0.0,20.0,44.0,200.0,0.0,9.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31.0,46.0,16.0,4.0,9.0,0.0,45.0,13.0,10.0,16.0,52.0,21.0,43.0,0.0,4.0,0.0,42.0,9.0,44.0,116.0,9.0,18.0,18.0,43.0,0.0,17.0,3.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7.0,0.0,2.0,33.0,12.0,34.0,0.0,49.0,11.0,11.0,12.0,12.0,21.0,0.0,24.0,16.0,5.0,28.0,79.0,14.0,13.0,54.0,1.0,60.0,31.0,0.0,21.0,0.0,3.0,33.0,42.0,24.0,81.0,0.0,8.0,11.0,12.0,201.0,3.0,22.0,0.0,0.0,29.0,0.0,3.0,5.0,2.0,40.0,7.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13.0,24.0,15.0,18.0,57.0,36.0,16.0,0.0,8.0,5.0,39.0,7.0,12.0,54.0,52.0,0.0,0.0,27.0,43.0,17.0,5.0,11.0,66.0,29.0,22.0,39.0,0.0,17.0,0.0,221.0,117.0,19.0,0.0,80.0,30.0,14.0,11.0,14.0,103.0,99.0,43.0,28.0,81.0,41.0,43.0,4.0,1.0,0.0,51.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,26.0,28.0,19.0,11.0,8.0,8.0,3.0,2.0,4.0,14.0,0.0,0.0,2.0,7.0,3.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,13.0,0.0,36.0,39.0,10.0,0.0,0.0,0.0,0.0,27.0,25.0,53.0,34.0,41.0,14.0,2.0,8.0,1.0,12.0,0.0,127.0,0.0,43.0,0.0,0.0,7.0,12.0,2.0,0.0,0.0,5.0,0.0,0.0,99.0,49.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12.0,14.0,54.0,14.0,54.0,12.0,43.0,15.0,28.0,72.0,43.0,75.0,18.0,45.0,72.0,11.0,0.0,0.0,33.0,20.0,0.0,27.0,149.0,0.0,0.0,0.0,137.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.0,31.0,39.0,0.0,14.0,29.0,0.0,1.0,21.0,72.0,21.0,0.0,62.0,16.0,80.0,28.0,3.0,50.0,24.0,14.0,2.0,0.0,112.0,32.0,9.0,11.0,0.0,5.0,39.0,17.0,16.0,38.0,1.0,27.0,258.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,49.0,38.0,46.0,14.0,31.0,17.0,19.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,61.0,16.0,0.0,4.0,0.0,38.0,0.0,22.0,0.0,0.0,62.0,6.0,0.0,0.0,1.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,16.0,19.0,55.0,19.0,2.0,1.0,0.0,27.0,79.0,36.0,0.0,0.0,0.0,14.0,58.0,35.0,0.0,49.0,0.0,28.0,62.0,0.0,1.0,30.0,2.0,13.0,0.0,40.0,3.0,7.0,7.0,71.0,30.0,199.0,0.0,0.0,19.0,0.0,35.0,19.0,4.0,81.0,20.0,19.0,0.0,0.0,124.0,0.0,0.0,0.0,74.0,0.0,61.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,24.0,21.0,25.0,17.0,14.0,7.0,19.0,14.0,24.0,15.0,29.0,54.0,12.0,32.0,36.0,10.0,47.0,3.0,13.0,52.0,29.0,71.0,0.0,0.0,74.0,158.0,50.0,10.0,29.0,29.0,3.0,100.0,14.0,55.0,0.0,0.0,190.0,0.0,1.0,28.0,229.0,215.0,48.0,0.0,14.0,12.0,15.0,0.0,0.0,4.0,9.0,0.0,11.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
40,6.0,3.0,3.0,41.0,5.0,14.0,11.0,7.0,4.0,0.0,18.0,37.0,29.0,4.0,53.0,23.0,108.0,105.0,0.0,0.0,11.0,22.0,0.0,1.0,0.0,2.0,31.0,105.0,46.0,50.0,0.0,60.0,109.0,27.0,263.0,7.0,34.0,0.0,58.0,82.0,0.0,30.0,95.0,22.0,42.0,10.0,0.0,2.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,53.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4.0,8.0,0.0,5.0,49.0,4.0,17.0,0.0,1.0,15.0,104.0,31.0,0.0,23.0,0.0,34.0,16.0,12.0,0.0,0.0,1.0,44.0,0.0,177.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,77.0,68.0,36.0,230.0,1.0,0.0,21.0,45.0,0.0,0.0,50.0,6.0,69.0,6.0,0.0,97.0,0.0,51.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,20.0,24.0,0.0,43.0,0.0,17.0,5.0,12.0,12.0,0.0,8.0,1.0,20.0,0.0,0.0,0.0,6.0,21.0,1.0,1.0,9.0,5.0,8.0,4.0,55.0,38.0,17.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5.0,12.0,12.0,18.0,19.0,65.0,15.0,16.0,3.0,18.0,9.0,21.0,12.0,76.0,11.0,3.0,0.0,0.0,42.0,0.0,0.0,81.0,59.0,25.0,0.0,0.0,7.0,92.0,37.0,59.0,21.0,26.0,0.0,68.0,118.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,18.0,2.0,0.0,13.0,0.0,26.0,10.0,0.0,15.0,45.0,3.0,0.0,16.0,10.0,50.0,0.0,27.0,4.0,0.0,22.0,13.0,0.0,6.0,8.0,0.0,7.0,7.0,14.0,33.0,40.0,0.0,77.0,71.0,0.0,7.0,4.0,1.0,19.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,721.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,13.0,5.0,19.0,8.0,0.0,17.0,16.0,85.0,30.0,69.0,28.0,52.0,46.0,32.0,38.0,12.0,5.0,29.0,6.0,206.0,10.0,48.0,13.0,29.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
