,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam,EventCategory,WhiteTeamCountry,BlackTeamCountry
269,TCh-TUR Super League 2022,Ankara TUR,2022.08.20,5.2,"Gukesh, D.","Maghsoodloo, Parham",0-1,2701,E10,TUR,2022.08.16,13,team,58,Mark Crowther,2022.08.22,2,The Week in Chess 1450,1,2022.08.22,2699,GOKTURK SATRANC SPOR KULUBU,TURK HAVA YOLLARI (THY) SPOR KULUBU,,,
270,TCh-TUR Super League 2022,Ankara TUR,2022.08.22,7.1,"Gukesh, D.","Idani, P.",1-0,2641,D45,TUR,2022.08.16,13,team,81,Mark Crowther,2022.08.29,2,The Week in Chess 1451,1,2022.08.29,2699,HATAY BUYUKSEHIR BELEDIYESI GENCLIK SPOR,TURK HAVA YOLLARI (THY) SPOR KULUBU,,,
271,TCh-TUR Super League 2022,Ankara TUR,2022.08.23,8.6,"Sychev, K.","Gukesh, D.",1/2-1/2,2699,B31,TUR,2022.08.16,13,team,84,Mark Crowther,2022.08.29,2,The Week in Chess 1451,1,2022.08.29,2547,TURK HAVA YOLLARI (THY) SPOR KULUBU,TAS DUVAR SPOR KULUBU,,,
272,TCh-TUR Super League 2022,Ankara TUR,2022.08.24,10.6,"Gukesh, D.","Nigmatov, Ortik",1-0,2437,A20,TUR,2022.08.16,13,team,73,Mark Crowther,2022.08.29,2,The Week in Chess 1451,1,2022.08.29,2699,ROTA KOLEJI SPOR KULUBU,TURK HAVA YOLLARI (THY) SPOR KULUBU,,,
273,TCh-TUR Super League 2022,Ankara TUR,2022.08.25,11.1,"Nguyen, Thai Dai Van","Gukesh, D.",1/2-1/2,2699,B31,TUR,2022.08.16,13,team,113,Mark Crowther,2022.08.29,2,The Week in Chess 1451,1,2022.08.29,2629,TURK HAVA YOLLARI (THY) SPOR KULUBU,GOKYAY VAKFI SPOR KULUBU,,,
274,TCh-TUR Super League 2022,Ankara TUR,2022.08.26,12.5,"Gukesh, D.","Ivic, Velimir",1/2-1/2,2583,D45,TUR,2022.08.16,13,team,60,Mark Crowther,2022.08.29,2,The Week in Chess 1451,1,2022.08.29,2699,BURHANIYE SATRANC SPOR KULUBU,TURK HAVA YOLLARI (THY) SPOR KULUBU,,,
275,TCh-ESP Div Honor 2022,Linares ESP,2022.09.17,1.2,"Martinez Fernandez, Adrian","Gukesh, D.",0-1,2726,B31,ESP,2022.09.17,7,team,78,Mark Crowther,2022.09.19,2,The Week in Chess 1454,2,2022.09.20,2338,C.A. Solvay,C.E. Barcelona,,,
276,TCh-ESP Div Honor 2022,Linares ESP,2022.09.18,2.4,"Gukesh, D.","Jones, G.",1-0,2623,D94,ESP,2022.09.17,7,team,59,Mark Crowther,2022.09.19,2,The Week in Chess 1454,2,2022.09.20,2726,Sestao Hotel Naval,C.A. Solvay,,,
277,TCh-ESP Div Honor 2022,Linares ESP,2022.09.19,3.1,"Alekseenko, K.","Gukesh, D.",1/2-1/2,2726,B30,ESP,2022.09.17,7,team,59,Mark Crowther,2022.09.26,2,The Week in Chess 1455,2,2022.09.27,2707,C.A. Solvay,C.A. Silla 60 Aniversario,,,
278,TCh-ESP Div Honor 2022,Linares ESP,2022.09.20,4.4,"Anton Guijarro, D.","Gukesh, D.",0-1,2726,B30,ESP,2022.09.17,7,team,112,Mark Crowther,2022.09.26,2,The Week in Chess 1455,2,2022.09.27,2662,C.A. Solvay,C.A. Jaime Casas de Monzon,,,
279,TCh-ESP Div Honor 2022,Linares ESP,2022.09.21,5.2,"Gukesh, D.","Tabatabaei, M.",0-1,2651,C53,ESP,2022.09.17,7,team,78,Mark Crowther,2022.09.26,2,The Week in Chess 1455,2,2022.09.27,2726,DuoBeniajan Costa Calida,C.A. Solvay,,,
280,TCh-ESP Div Honor 2022,Linares ESP,2022.09.22,6.3,"Nihal, Sarin","Gukesh, D.",1/2-1/2,2726,D38,ESP,2022.09.17,7,team,61,Mark Crowther,2022.09.26,2,The Week in Chess 1455,2,2022.09.27,2677,C.A. Solvay,Andreu Paterna,,,
281,TCh-ESP Div Honor 2022,Linares ESP,2022.09.23,7.3,"Gukesh, D.","Santos Latasa, J.",1-0,2680,D41,ESP,2022.09.17,7,team,129,Mark Crowther,2022.09.26,2,The Week in Chess 1455,2,2022.09.27,2726,Magic Extremadura,C.A. Solvay,,,
