,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCategory,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam,BlackTeamCountry,WhiteTeamCountry
48,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.4,"Esipenko, Andrey","Carlsen, M.",1/2-1/2,2847,C53,,RUS,2021.07.12,8,k.o.,170,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2716,,,,
49,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.5,"Carlsen, M.","Esipenko, Andrey",1-0,2716,E10,,RUS,2021.07.12,8,k.o.,61,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2847,,,,
50,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.6,"Esipenko, Andrey","Carlsen, M.",1-0,2847,C53,,RUS,2021.07.12,8,k.o.,127,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2716,,,,
51,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.7,"Carlsen, M.","Esipenko, Andrey",1-0,2716,C65,,RUS,2021.07.12,8,k.o.,123,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2847,,,,
52,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.8,"Esipenko, Andrey","Carlsen, M.",0-1,2847,C53,,RUS,2021.07.12,8,k.o.,86,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2716,,,,
53,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.28,6.1,"Bacrot, E.","Carlsen, M.",0-1,2847,C88,,RUS,2021.07.12,8,k.o.,88,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2678,,,,
54,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.29,6.2,"Carlsen, M.","Bacrot, E.",1-0,2678,B52,,RUS,2021.07.12,8,k.o.,77,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2847,,,,
55,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.01,7.1,"Carlsen, M.","Duda, J.",1/2-1/2,2738,D37,,RUS,2021.07.12,8,k.o.,63,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2847,,,,
56,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.02,7.2,"Duda, J.","Carlsen, M.",1/2-1/2,2847,C88,,RUS,2021.07.12,8,k.o.,129,Mark Crowther,2021.08.02,2,The Week in Chess 1395,1,2021.08.02,2738,,,,
57,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.03,7.3,"Duda, J.","Carlsen, M.",1/2-1/2,2847,C65,,RUS,2021.07.12,8,k.o.,66,Mark Crowther,2021.08.10,2,The Week in Chess 1396,1,2021.08.10,2738,,,,
58,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.03,7.4,"Carlsen, M.","Duda, J.",0-1,2738,B52,,RUS,2021.07.12,8,k.o.,148,Mark Crowther,2021.08.10,2,The Week in Chess 1396,1,2021.08.10,2847,,,,
59,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.04,8.1,"Fedoseev, Vl3","Carlsen, M.",0-1,2847,E60,,RUS,2021.07.12,8,k.o.,82,Mark Crowther,2021.08.10,2,The Week in Chess 1396,1,2021.08.10,2696,,,,
60,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.05,8.2,"Carlsen, M.","Fedoseev, Vl3",1-0,2696,B12,,RUS,2021.07.12,8,k.o.,98,Mark Crowther,2021.08.10,2,The Week in Chess 1396,1,2021.08.10,2847,,,,
61,9th Norway Chess 2021,Stavanger NOR,2021.09.07,1.1,"Firouzja, Alireza","Carlsen, M.",1/2-1/2,2855,B30,21,NOR,2021.09.07,10,tourn,77,Mark Crowther,2021.09.13,2,The Week in Chess 1401,1,2021.09.13,2754,,,,
62,9th Norway Chess 2021,Stavanger NOR,2021.09.08,2.1,"Carlsen, M.","Tari, A.",1/2-1/2,2642,C50,21,NOR,2021.09.07,10,tourn,92,Mark Crowther,2021.09.13,2,The Week in Chess 1401,1,2021.09.13,2855,,,,
63,9th Norway Chess 2021,Stavanger NOR,2021.09.09,3.1,"Rapport, R.","Carlsen, M.",1/2-1/2,2855,E94,21,NOR,2021.09.07,10,tourn,36,Mark Crowther,2021.09.13,2,The Week in Chess 1401,1,2021.09.13,2760,,,,
